eco,name,fen,white,draw,black
A66,"Benoni Defense: Pawn Storm Variation",rnbqkb1r/pp3p1p/3p1np1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 7,19,19,6
A66,"Benoni Defense: Pawn Storm Variation",rnbqkb1r/pp3ppp/3p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 6,19,19,6
A66,"Benoni Defense: Pawn Storm Variation",rnbqkb1r/pp3p1p/3p1np1/2pP4/4PP2/2N5/PP4PP/R1BQKBNR b KQkq - 0 7,17,14,1
A44,"Benoni Defense: Semi-Benoni",rnbqkbnr/pp1p1ppp/8/2pPp3/8/8/PPP1PPPP/RNBQKBNR w KQkq e6 0 3,15,17,1
A67,"Benoni Defense: Taimanov Variation",rnbqk2r/pp3pbp/3p1np1/1BpP4/4PP2/2N5/PP4PP/R1BQK1NR b KQkq - 2 8,15,13,0
A67,"Benoni Defense: Taimanov Variation",rnbqk2r/pp1n1pbp/3p2p1/1BpP4/4PP2/2N5/PP4PP/R1BQK1NR w KQkq - 3 9,15,13,0
A67,"Benoni Defense: Taimanov Variation",rnbqk2r/pp3pbp/3p1np1/2pP4/4PP2/2N5/PP4PP/R1BQKBNR w KQkq - 1 8,15,13,0
A02,"Bird Opening",rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,15,12,5
C24,"Bishop's Opening: Vienna Hybrid",rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,14,13,9
C24,"Bishop's Opening: Vienna Hybrid",r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq - 0 4,7,18,3
C24,"Bishop's Opening: Vienna Hybrid",rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,16,14,4
C24,"Bishop's Opening: Vienna Hybrid",rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,20,18,6
C24,"Bishop's Opening: Vienna Hybrid",rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,17,30,22
E10,"Blumenfeld Countergambit Accepted",rnbqkb1r/p2p1ppp/4pn2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 5,12,8,7
E11,"Bogo-Indian Defense: Grünfeld Variation",rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/P4N2/1P1NPPPP/R1BQKB1R b KQ - 0 5,11,8,10
E11,"Bogo-Indian Defense: Grünfeld Variation",rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/5N2/PP1NPPPP/R1BQKB1R w KQkq - 0 5,10,14,3
E11,"Bogo-Indian Defense: Grünfeld Variation",rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP1NPPPP/R1BQKB1R b KQkq - 3 4,28,29,17
E11,"Bogo-Indian Defense: Grünfeld Variation",rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/5N2/PP1NPPPP/R1BQKB1R w KQ - 4 5,13,9,10
E11,"Bogo-Indian Defense: Nimzowitsch Variation",rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,47,76,36
E11,"Bogo-Indian Defense: Nimzowitsch Variation",rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,76,81,47
E11,"Bogo-Indian Defense: Nimzowitsch Variation",rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP1BPPPP/RN1QKB1R b KQkq - 3 4,14,44,19
E11,"Bogo-Indian Defense: Nimzowitsch Variation",rnb1k2r/ppppqppp/4pn2/8/1bPP4/5N2/PP1BPPPP/RN1QKB1R w KQkq - 4 5,3,21,6
E11,"Bogo-Indian Defense: Nimzowitsch Variation",rnbqkbnr/pppp1ppp/4p3/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,65,74,35
E11,"Bogo-Indian Defense: Retreat Variation",rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,61,94,67
E11,"Bogo-Indian Defense: Retreat Variation",rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1QK2R w KQ - 2 7,37,60,42
E11,"Bogo-Indian Defense: Retreat Variation",rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5NP1/PP1BPP1P/RN1QKB1R b KQkq - 2 5,47,78,60
E11,"Bogo-Indian Defense: Retreat Variation",rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPP1P/RN1QKB1R w KQkq - 3 6,36,66,48
E11,"Bogo-Indian Defense: Retreat Variation",rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PPQBPPBP/RN3RK1 b - - 1 8,17,34,23
E11,"Bogo-Indian Defense: Retreat Variation",rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1Q1RK1 b - - 6 7,32,50,33
E11,"Bogo-Indian Defense: Retreat Variation",rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1Q1RK1 w - - 0 8,17,32,19
E11,"Bogo-Indian Defense: Retreat Variation",r1bq1rk1/1p1nbppp/2p1pn2/p2p4/2PP1B2/5NP1/PPQ1PPBP/RN3RK1 w - - 0 10,7,12,11
E11,"Bogo-Indian Defense: Retreat Variation",rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1QK2R b KQkq - 1 6,43,75,51
E11,"Bogo-Indian Defense: Wade-Smyslov Variation",rnbqk2r/1ppp1ppp/4pn2/p7/1bPP4/5N2/PP1BPPPP/RN1QKB1R w KQkq - 0 5,10,11,5
B15,"Caro-Kann Defense",rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,61,68,25
B15,"Caro-Kann Defense",rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,375,384,191
B10,"Caro-Kann Defense",rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,26,27,15
B10,"Caro-Kann Defense",rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,27,27,15
B15,"Caro-Kann Defense",rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,389,399,195
B15,"Caro-Kann Defense",rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,53,62,24
B10,"Caro-Kann Defense",rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,480,520,244
